City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,quellon,-43.1167,-73.6167,5.14,87,75,0.51,CL,1689491350
336,santa vitoria do palmar,-33.5189,-53.3681,9.19,74,99,3.19,BR,1689491350
337,timbuktu,16.7735,-3.0074,31.34,48,86,3.38,ML,1689491351
338,formosa do rio preto,-11.0483,-45.1931,20.22,52,21,1.71,BR,1689491351
339,ixtapa,20.7,-105.2,27.35,89,100,0.45,MX,1689491351
340,namibe,-15.1961,12.1522,22.16,41,0,1.28,AO,1689491351
341,bodo,67.28,14.405,18.3,63,75,8.23,NO,1689491166
342,buckingham,51.9997,-0.9878,16.1,83,100,2.68,GB,1689491352
343,derry,54.9981,-7.3093,12.81,91,89,5.53,GB,1689491352
344,mirabella imbaccari,37.3275,14.4463,33.42,18,0,1.34,IT,1689491353
345,panaba,21.2833,-88.2667,24.44,94,0,2.52,MX,1689491353
346,utrik,11.2278,169.8474,28.38,75,71,6.74,MH,1689491353
347,rawson,-43.3002,-65.1023,4.36,71,99,8.29,AR,1689491353
348,huarmey,-10.0681,-78.1522,20.71,85,78,3.71,PE,1689491354
349,tionk essil,12.7856,-16.5217,24.46,91,100,2.21,SN,1689491354
350,poxoreo,-15.8372,-54.3892,18.43,64,13,1.1,BR,1689491354
351,saynshand,44.8824,110.1163,30.48,14,6,3.38,MN,1689491355
352,lihue,21.9789,-159.3672,25.77,79,100,6.69,US,1689491355
353,zhelezinka,53.54,75.3072,15.81,86,100,7.87,KZ,1689491355
354,kiruna,67.8557,20.2251,15.51,63,91,2.06,SE,1689491356
355,noumea,-22.2763,166.4572,22.78,99,96,6.92,NC,1689491356
356,mont-laurier,46.5501,-75.4993,17.52,97,100,1.04,CA,1689491258
357,vadso,70.0744,29.7487,17.49,100,100,1.54,NO,1689491356
358,pasni,25.2631,63.471,28.59,76,100,6.49,PK,1689491357
359,preobrazheniye,42.9019,133.9064,16.52,89,100,5.25,RU,1689491357
